review,cleaned_review,label
Five stars! This is the best purchase I've made this year.,five star good purchase I ve make year,1
The worst product I've ever bought. Complete waste of money.,bad product I ve ever buy complete waste money,0
I love this product! It's exactly what I needed and arrived quickly.,love product exactly need arrive quickly,1
Great value for money. Would definitely recommend to friends and family.,great value money would definitely recommend friend family,1
This product has made my life so much easier. Totally worth it!,product make life much easy totally worth,1
The product doesn't work as advertised. Would not recommend.,product do not work advertise would recommend,1
Poor build quality and terrible customer service.,poor build quality terrible customer service,0
This product has made my life so much easier. Totally worth it!,product make life much easy totally worth,1
The worst product I've ever bought. Complete waste of money.,bad product I ve ever buy complete waste money,0
Great value for money. Would definitely recommend to friends and family.,great value money would definitely recommend friend family,1
I love this product! It's exactly what I needed and arrived quickly.,love product exactly need arrive quickly,1
Five stars! This is the best purchase I've made this year.,five star good purchase I ve make year,1
Poor build quality and terrible customer service.,poor build quality terrible customer service,0
The setup was easy and the performance is outstanding.,setup easy performance outstanding,1
This product has made my life so much easier. Totally worth it!,product make life much easy totally worth,1
Great value for money. Would definitely recommend to friends and family.,great value money would definitely recommend friend family,1
The product doesn't work as advertised. Would not recommend.,product do not work advertise would recommend,1
Five stars! This is the best purchase I've made this year.,five star good purchase I ve make year,1
The setup was easy and the performance is outstanding.,setup easy performance outstanding,1
The product is durable and well-designed. Very happy with my purchase.,product durable welldesigne happy purchase,1
This product exceeded my expectations. The quality is excellent and it works perfectly.,product exceed expectation quality excellent work perfectly,1
Excellent customer service and a fantastic product.,excellent customer service fantastic product,1
The setup was easy and the performance is outstanding.,setup easy performance outstanding,1
Five stars! This is the best purchase I've made this year.,five star good purchase I ve make year,1
Great value for money. Would definitely recommend to friends and family.,great value money would definitely recommend friend family,1
The worst product I've ever bought. Complete waste of money.,bad product I ve ever buy complete waste money,0
Excellent customer service and a fantastic product.,excellent customer service fantastic product,1
